Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    288.08     0.00      527     0.00     0.00  void std::swap<DIR_ENTRY>(DIR_ENTRY&, DIR_ENTRY&)
  0.00    288.08     0.00     1106     0.00     0.00  bool __gnu_cxx::operator!=<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&)
  0.00    288.08     0.00      420     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::difference_type __gnu_cxx::operator-<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&)
  0.00    288.08     0.00      249     0.00     0.00  PMC_LIST::up(unsigned int&, unsigned int&)
  0.00    288.08     0.00       69     0.00     0.00  void std::_Destroy<DIR_ENTRY*>(DIR_ENTRY*, DIR_ENTRY*)
  0.00    288.09     0.00       68     0.00     0.00  std::__miter_base<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, false>::__b(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       63     0.00     0.00  __gnu_cxx::new_allocator<DIR_ENTRY>::max_size() const
  0.00    288.09     0.00       59     0.00     0.00  std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::size() const
  0.00    288.09     0.00       44     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, int>(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, int)
  0.00    288.09     0.00       34     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > std::__copy_move_backward_a2<false, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       24     0.00     0.00  std::_Vector_base<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_deallocate(DIR_ENTRY*, unsigned int)
  0.00    288.09     0.00       15     0.00     0.00  AUDIO_DECODERS::close()
  0.00    288.09     0.00        1     0.00     0.00  set_callbacks()
  0.00    288.09     0.00     1046     0.00     0.00  __gnu_cxx::new_allocator<DIR_ENTRY>::construct(DIR_ENTRY*, DIR_ENTRY const&)
  0.00    288.09     0.00     1046     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::push_back(DIR_ENTRY const&)
  0.00    288.09     0.00      871     0.00     0.00  Pmc_Image::draw_strip(short, short)
